Vivado Simulator 2018.3
Time resolution is 1 ps
          0 OK: y(00000000) == 00000000
          1 OK: y(11111111) == 11111111
          2 OK: y(00000001) == 00000001
          3 OK: y(01111111) == 01101100
          4 OK: y(01111111) == 01101100
          5 FAIL: y(10000000) != 10010100 {actual: 01101011}
          6 OK: y(10100000) == 10101000
          7 OK: y(10000001) == 10010100
          8 OK: y(01000000) == 00111110
          9 OK: y(11100000) == 11100000
         10 OK: y(11000000) == 11000010
         11 OK: y(01010000) == 01001011
